,content,uuid
1193,"RabbitMQ : Messaging with Java, Spring Boot And Spring MVC",6223decb6f4340b6823e243abc896027
1194,Learn Digital Painting to Make Cell Shaded Concept Art,5b9d83dea70e4917bc4a991fd8b60fbf
1202,Linux Shell Scripting: A Project-Based Approach to Learning,ec9fc73d2a914d499ca4ad5514027987
1203,Microservices with Spring Cloud,e0fa9b46ff7d43b8877106f22aeb35b2
1205,Microservices: Designing Highly Scalable Systems,910b2c516e7f4872bde91022bc762ad0
1213,Product Management 101,c244dbe709f346e086899c6644611059
1216,FRM Part 1 (2020) - Book 1 - Foundations of Risk Management,63f74335c9cf4617b951cb21c7be8255
1220,Learn Linux in 5 Days and Level Up Your Career,605cae7851c149f1a2bb55fffd3a7fe0
1227,Mastering IELTS Writing: Task 2 (Achieve Band 7+ in 6 Hours),5a07a913ed5849b0a60707565e55aff3
1230,API and Web Service Introduction,d090da706be04833a64f73ba25bbb7f8
1233,Java Design Patterns - The Complete Masterclass,63161e4e75a1470eb10aab779550837b
1234,Apache Kafka Series - Kafka Cluster Setup & Administration,dcd36ac9fe94454096b2f671f9c86b6e
1237,Google Analytics Certification - Become Certified in 1 Day!,6370a18e291644f281bd15acd47c07c9
1241,Personal Branding Mastery: The System To Reinvent Yourself!,01764e9a860243a28d21bc7b11657a68
1245,Become a Product Manager | Learn the Skills & Get the Job,f16a42f2d680435f98ed0e3f60d59420
1256,Beginning Project Management: Project Management Level One,ffdfd5bea3754b2d86bd6004b38655e5
1260,Agile Fundamentals: Including Scrum and Kanban - 2020,3e32e0f03e0a40e596457978a73786ef
1261,"Scala Applied, Part 1",ec300fa3a1304dcaa9a7da9e3b24e1eb
1264,"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",52c9bb47d1374046bcbd3d1e37604316
1269,"Docker, From Zero To Hero: Become a DevOps Docker Master",e5a857184f284b3baad330d56bb12c83
1270,Influence People with Persuasion Psychology,07273a0e6f7141478ce866ea3ccc65bc
1271,Psychology of Diversity and Unconscious Bias,732707494cc94bb1b7b4ef4b2931f3b5
1272,Develop Amazing Social Skills & Connect With People,d6e85e67c94e492cb6942dae817d18d7
1273,Blockchain A-Z™: Learn How To Build Your First Blockchain,dbaea22f4e154568aa971023b745478b
1275,Executive Briefing: Artificial Intelligence (AI),e52d03cee54a4f5486d36850405a0f9e
1277,The Complete Web Developer Course 2.0,bbfd81bf2ce14a56953ab728582d8051
1280,"Git Complete: The definitive, step-by-step guide to Git",9232add5d29c440f8fb9b7c03b2f1393
1284,Vim Masterclass,57ee87f4a0514b9da7d2d5167b0822b2
1296,Jenkins MasterClass for Absolute Beginner - Hands On DevOps,62642bf5cb754d97a4be26cde7a1a1c9
1305,spring Framework for Beginners with Spring Boot,3d795ccc94f146d38348dffe4ae99150
1319,Node JS: Advanced Concepts,481e249e7b204785a690737028575fa7
1328,Node.js Unit Testing In-Depth,66d285bb684548308ae4ecb92bd636ac
1329,Apache Tomcat Server from Beginners to Advanced,c03bf2107ff14a2ba72d3b38f91a2e79
